"ModuleCode","DateExam","ExamPaperPDF"
"AST2652","2022-11-10",
"CHE1504","2022-11-11",
"CHE181T","2022-11-12",
"CHE2611","2022-11-13",
"CHE2613","2022-11-14",
"CHE3701","2022-11-15",
"CHE3703","2022-11-16",
"CHE3704","2022-11-17",
"CHE4801","2022-11-18",
"ELE2561","2022-11-19",
"ENG1011","2022-11-10",
"ENG1012","2022-11-11",
"ENG1013","2022-11-12",
"ENG1014","2022-11-13",
"ENG1015","2022-11-14",
"ENG1016","2022-11-15",
"ENG1017","2022-11-16",
"ENG1018","2022-11-20",
"ENG1019","2022-11-21",
"ICT1111","2022-11-10",
"ICT1112","2022-11-11",
"ICT1113","2022-11-12",
"ICT1114","2022-11-13",
"ICT1115","2022-11-14",
"ICT1116","2022-11-15",
"ICT1117","2022-11-16",
"ICT1118","2022-11-17",
"ICT1119","2022-11-18",
"ICT1120","2022-11-19",
"ICT2612","2022-11-10",
"ICT3611","2022-11-11",
"ICT3722","2022-11-12",
"MAT2612","2022-11-10",
